Date,Open,High,Low,Close,Volume
2010-09-23,338.0,343.0,335.75,343.0,465
2010-09-24,352.0,352.0,335.5,339.25,594
2010-09-27,348.0,355.0,344.5,352.0,421
2010-09-28,338.0,348.5,337.25,348.0,666
2010-09-29,335.5,338.5,325.0,338.0,1233
2010-09-30,342.0,346.0,331.0,336.0,742
2010-10-01,333.25,349.5,332.25,341.0,1211
2010-10-04,337.5,342.75,330.25,333.25,685
2010-10-05,352.75,354.5,338.25,339.5,500
2010-10-06,351.5,358.0,340.0,354.0,829
2010-10-07,349.5,360.75,349.5,352.0,745
2010-10-08,369.5,369.5,345.5,350.5,456
2010-10-11,369.0,380.0,351.25,379.25,1075
2010-10-12,383.0,383.0,369.0,369.0,682
2010-10-13,380.0,388.0,378.0,382.25,488
2010-10-14,376.0,385.75,373.75,379.75,550
2010-10-15,370.25,377.25,369.25,377.25,305
2010-10-18,362.0,370.25,355.0,370.25,687
2010-10-19,345.0,366.0,342.75,362.0,1145
2010-10-20,355.0,358.5,340.0,345.0,865
2010-10-21,355.5,363.75,348.75,357.0,729
2010-10-22,357.0,363.0,353.25,355.5,377
2010-10-25,365.0,373.75,358.5,359.5,1368
2010-10-26,371.0,376.75,363.75,367.25,877
2010-10-27,370.0,376.0,362.0,374.5,604
2010-10-28,366.0,375.25,366.0,368.75,1791
2010-10-29,368.0,373.0,364.0,367.25,1475
2010-11-01,363.0,375.0,363.5,370.25,1252
2010-11-02,362.0,366.75,359.5,364.25,1328
2010-11-03,361.5,366.75,358.25,362.0,511
2010-11-04,377.5,378.5,362.5,362.5,1139
2010-11-05,375.25,379.25,362.0,377.75,1139
2010-11-08,376.5,378.0,368.5,375.25,451
2010-11-09,373.0,386.75,370.5,374.0,891
2010-11-10,361.0,374.25,354.75,371.0,1222
2010-11-11,358.5,360.75,352.5,360.75,496
2010-11-12,339.5,358.75,339.0,357.0,988
2010-11-15,346.5,352.75,337.5,341.5,1133
2010-11-16,342.5,348.5,335.25,348.5,804
2010-11-17,347.25,351.5,336.5,342.5,1102
2010-11-18,355.5,356.5,344.0,347.25,411
2010-11-19,353.25,362.25,348.75,358.75,811
2010-11-22,351.0,360.0,348.5,353.25,572
2010-11-23,347.5,354.0,343.0,352.0,1109
2010-11-24,348.25,351.5,347.0,347.0,464
2010-11-26,344.25,349.75,341.75,348.0,456
2010-11-29,337.75,353.0,335.0,350.75,1250
2010-11-30,340.0,341.25,333.0,339.75,210
2010-12-01,367.25,365.75,335.0,339.75,278
2010-12-02,361.0,385.75,362.75,370.25,289
2010-12-03,367.0,372.75,367.25,367.25,25
2010-12-06,372.0,374.5,350.0,350.0,42
2010-12-07,364.0,370.0,366.75,369.75,321
2010-12-08,378.0,379.0,372.5,372.5,23
2010-12-09,394.0,394.0,385.0,385.0,14
2010-12-10,400.0,399.25,396.0,397.75,3
2010-12-13,391.0,407.5,400.0,400.0,5
2010-12-14,387.0,387.0,387.0,387.0,482
2010-12-15,383.5,391.0,383.5,385.0,398
2010-12-16,385.5,387.5,382.5,386.0,784
2010-12-17,386.5,390.5,384.5,384.5,591
2010-12-20,390.5,393.25,386.5,389.25,533
2010-12-21,394.25,396.25,389.0,390.0,516
2010-12-22,391.75,397.0,387.0,394.75,919
2010-12-23,393.5,395.5,386.0,393.0,240
2010-12-27,389.5,391.5,380.5,390.75,428
2010-12-28,389.0,392.25,381.0,390.5,427
2010-12-29,384.5,388.75,382.0,387.5,463
2010-12-30,387.75,390.5,381.0,384.5,409
2010-12-31,394.0,395.0,384.0,385.75,500
